Symbol,Close,Volume,Date
ABBEYBDS,4.73,"226,748",2025-04-02
ABCTRANS,1.40,"867,077",2025-04-02
ACADEMY,2.65,"2,110,466",2025-04-02
ACCESSCORP,22.65,"15,043,234",2025-04-02
AFRIPRUD,14.35,"2,511,524",2025-04-02
AIICO,1.55,"11,356,232",2025-04-02
AIRTELAFRI,"2,156.90",76,2025-04-02
ARADEL,500.00,"1,926,562",2025-04-02
AUSTINLAZ,2.09,392,2025-04-02
BERGER,18.85,"36,528",2025-04-02
BETAGLAS,99.85,"43,061",2025-04-02
BUACEMENT,83.70,"446,982",2025-04-02
BUAFOODS,418.00,"17,364",2025-04-02
CADBURY,23.65,"610,514",2025-04-02
CAP,47.00,"121,287",2025-04-02
CAVERTON,2.32,"2,967,656",2025-04-02
CHAMPION,4.09,"23,862",2025-04-02
CHAMS,2.12,"10,460,429",2025-04-02
CHELLARAM,7.89,"136,260",2025-04-02
CILEASING,3.76,"582,009",2025-04-02
CONHALLPLC,3.23,"3,888,889",2025-04-02
CONOIL,331.20,"2,483",2025-04-02
CORNERST,3.30,"1,675,671",2025-04-02
CUSTODIAN,18.40,"3,469,766",2025-04-02
CUTIX,2.52,"2,900,835",2025-04-02
CWG,8.20,"764,583",2025-04-02
DAARCOMM,0.60,"142,011",2025-04-02
DANGCEM,480.00,"42,534",2025-04-02
DANGSUGAR,33.50,"1,185,572",2025-04-02
DEAPCAP,0.95,"1,328,946",2025-04-02
ELLAHLAKES,3.09,"2,257,906",2025-04-02
ENAMELWA,25.30,"8,170",2025-04-02
ETERNA,35.85,"155,872",2025-04-02
ETI,29.40,"465,381",2025-04-02
ETRANZACT,5.75,"211,649",2025-04-02
EUNISELL,10.75,"2,224",2025-04-02
FCMB,9.40,"3,850,751",2025-04-02
FIDELITYBK,19.05,"41,725,899",2025-04-02
FIDSON,19.00,"953,644",2025-04-02
FIRSTHOLDCO,27.30,"5,468,292",2025-04-02
FTNCOCOA,1.68,"2,034,228",2025-04-02
GEREGU,"1,141.50","4,377",2025-04-02
GOLDBREW,7.09,180,2025-04-02
GTCO,69.60,"33,046,665",2025-04-02
GUINEAINS,0.63,"1,590,367",2025-04-02
GUINNESS,80.00,"158,466",2025-04-02
HMCALL,5.80,"28,091",2025-04-02
HONYFLOUR,11.80,"2,989,215",2025-04-02
IKEJAHOTEL,10.30,"561,243",2025-04-02
IMG,38.00,"193,299",2025-04-02
INFINITY,7.00,"10,331",2025-04-02
INTBREW,5.10,"2,424,340",2025-04-02
INTENEGINS,1.50,"396,497",2025-04-02
JAIZBANK,3.33,"4,522,770",2025-04-02
JAPAULGOLD,1.95,"2,910,376",2025-04-02
JBERGER,137.00,"133,706",2025-04-02
JOHNHOLT,7.74,"37,958",2025-04-02
JULI,10.30,"6,750",2025-04-02
LASACO,2.43,"1,554,995",2025-04-02
LEARNAFRCA,3.00,"1,105,590",2025-04-02
LINKASSURE,1.31,"2,673,840",2025-04-02
LIVESTOCK,8.00,"5,704,135",2025-04-02
LIVINGTRUST,4.81,"9,000",2025-04-02
LOTUSHAL15,36.00,571,2025-04-02
MANSARD,8.90,"1,098,516",2025-04-02
MAYBAKER,8.60,"347,088",2025-04-02
MBENEFIT,1.07,"35,994,310",2025-04-02
MCNICHOLS,1.60,"2,040,865",2025-04-02
MECURE,11.25,"14,661",2025-04-02
MEYER,9.25,554,2025-04-02
MORISON,3.25,200,2025-04-02
MRS,174.90,"203,100",2025-04-02
MTNN,245.00,"5,862,245",2025-04-02
MULTIVERSE,8.65,"109,647",2025-04-02
NAHCO,69.90,"1,061,607",2025-04-02
NASCON,43.00,"6,557,351",2025-04-02
NB,34.30,"35,614,598",2025-04-02
NEIMETH,2.70,"480,553",2025-04-02
NEM,13.50,"266,279",2025-04-02
NESTLE,"1,020.00","64,048",2025-04-02
NEWGOLD,"47,998.92",2,2025-04-02
NGXGROUP,29.00,"249,751",2025-04-02
NIDF,111.70,459,2025-04-02
NNFM,87.75,"174,108",2025-04-02
NOTORE,62.50,"2,035",2025-04-02
NPFMCRFBK,1.90,"494,542",2025-04-02
NSLTECH,0.55,"2,246,080",2025-04-02
OANDO,45.70,"3,699,409",2025-04-02
OKOMUOIL,545.20,"135,715",2025-04-02
OMATEK,0.66,"452,922",2025-04-02
PRESCO,785.00,"467,284",2025-04-02
PRESTIGE,1.00,"1,203,228",2025-04-02
PZ,37.10,"347,606",2025-04-02
REDSTAREX,4.80,"1,224,104",2025-04-02
REGALINS,0.61,"3,130,601",2025-04-02
ROYALEX,1.09,"10,050,416",2025-04-02
RTBRISCOE,2.24,"776,554",2025-04-02
SCOA,4.47,"7,252",2025-04-02
SEPLAT,"5,700.00","12,485",2025-04-02
SKYAVN,46.50,"33,649",2025-04-02
SOVRENINS,0.97,"502,194",2025-04-02
STANBIC,62.00,"2,051,140",2025-04-02
STANBICETF30,384.44,"1,344",2025-04-02
STERLINGNG,5.10,"4,590,425",2025-04-02
SUNUASSUR,5.99,"416,736",2025-04-02
TANTALIZER,2.90,"673,495",2025-04-02
TIP,4.08,"1,484,000",2025-04-02
TOTAL,679.70,"57,040",2025-04-02
TRANSCOHOT,135.35,"21,049",2025-04-02
TRANSCORP,44.70,"1,679,786",2025-04-02
TRANSEXPR,2.00,"5,200",2025-04-02
TRANSPOWER,364.90,"8,615",2025-04-02
UACN,31.95,"364,818",2025-04-02
UBA,36.90,"19,611,174",2025-04-02
UCAP,15.30,"25,532,823",2025-04-02
UNILEVER,38.45,"623,087",2025-04-02
UNIONDICON,5.30,"100,000",2025-04-02
UNIVINSURE,0.57,"26,336,826",2025-04-02
UPDC,3.00,"6,391,639",2025-04-02
UPL,3.89,"2,354,479",2025-04-02
VERITASKAP,1.11,"1,905,893",2025-04-02
VETBANK,12.70,"3,500",2025-04-02
VETGOODS,19.20,"2,000",2025-04-02
VETGRIF30,42.00,10,2025-04-02
VETINDETF,39.00,2,2025-04-02
VFDGROUP,51.90,"577,735",2025-04-02
VITAFOAM,37.65,"621,177",2025-04-02
VSPBONDETF,245.00,120,2025-04-02
WAPCO,72.60,"363,568",2025-04-02
WAPIC,2.12,"6,058,066",2025-04-02
WEMABANK,10.90,"9,076,321",2025-04-02
ZENITHBANK,47.00,"28,635,846",2025-04-02
ABBEYBDS,4.73,"226,748",2025-04-03
ABCTRANS,1.40,"867,077",2025-04-03
ACADEMY,2.65,"2,110,466",2025-04-03
ACCESSCORP,22.65,"15,043,234",2025-04-03
AFRIPRUD,14.35,"2,511,524",2025-04-03
AIICO,1.55,"11,356,232",2025-04-03
AIRTELAFRI,"2,156.90",76,2025-04-03
ARADEL,500.00,"1,926,562",2025-04-03
AUSTINLAZ,2.09,392,2025-04-03
BERGER,18.85,"36,528",2025-04-03
BETAGLAS,99.85,"43,061",2025-04-03
BUACEMENT,83.70,"446,982",2025-04-03
BUAFOODS,418.00,"17,364",2025-04-03
CADBURY,23.65,"610,514",2025-04-03
CAP,47.00,"121,287",2025-04-03
CAVERTON,2.32,"2,967,656",2025-04-03
CHAMPION,4.09,"23,862",2025-04-03
CHAMS,2.12,"10,460,429",2025-04-03
CHELLARAM,7.89,"136,260",2025-04-03
CILEASING,3.76,"582,009",2025-04-03
CONHALLPLC,3.23,"3,888,889",2025-04-03
CONOIL,331.20,"2,483",2025-04-03
CORNERST,3.30,"1,675,671",2025-04-03
CUSTODIAN,18.40,"3,469,766",2025-04-03
CUTIX,2.52,"2,900,835",2025-04-03
CWG,8.20,"764,583",2025-04-03
DAARCOMM,0.60,"142,011",2025-04-03
